YLR378C	GO:0005784
YGL206C	GO:0030125
YGR005C	GO:0005674
YNL317W	GO:0005847
YHR196W	GO:0034455
YPL125W	GO:0005643
YPL203W	GO:0005952
YNL113W	GO:0005666
YFL037W	GO:0005880
YLR386W	GO:0070772
YML031W	GO:0070762
YJL025W	GO:0070860
YGR099W	GO:0070209
YFL018C	GO:0009353
YBR154C	GO:0005665
YHR174W	GO:0000015
YLR421C	GO:0008541
YDR097C	GO:0032301
YPR133C	GO:0008023
YMR025W	GO:0008180
YMR198W	GO:0005881
YDR172W	GO:0018444
YDR437W	GO:0000506
YDR407C	GO:0030008
YDR443C	GO:0005667
YKL109W	GO:0016602
YBR236C	GO:0016591
YDL100C	GO:0043529
YLR154C	GO:0032299
YML127W	GO:0016586
YDR394W	GO:0008540
YHR012W	GO:0030904
YDR328C	GO:0000776
YPL175W	GO:0000506
YFL004W	GO:0033254
YPR034W	GO:0016514
YLR265C	GO:0032807
YGR119C	GO:0055125
YOR370C	GO:0005968
YOR244W	GO:0035267
YJL050W	GO:0031499
YMR078C	GO:0031390
YJL154C	GO:0030906
YNL097C	GO:0000118
YMR275C	GO:0000151
YFR052W	GO:0034515
YJR068W	GO:0031389
YJL041W	GO:0055125
YOR117W	GO:0034515
YGL137W	GO:0030126
YLR005W	GO:0000439
YOR116C	GO:0005666
YFL018C	GO:0005960
YPL050C	GO:0000136
YPL004C	GO:0032126
YJL179W	GO:0016272
YOR257W	GO:0005643
YJL008C	GO:0005832
YDR383C	GO:0000777
YDR448W	GO:0000124
YDR076W	GO:0033062
YCR020W-B	GO:0016586
YEL036C	GO:0000136
YJL124C	GO:0005845
YPR055W	GO:0000145
YKR037C	GO:0042729
YOR250C	GO:0005849
YDR054C	GO:0019005
YMR033W	GO:0016514
YBR254C	GO:0030008
YDR280W	GO:0000177
YKR008W	GO:0016586
YEL027W	GO:0000220
YLR055C	GO:0016591
YBR111W-A	GO:0070390
YJL012C	GO:0033254
YHR001W-A	GO:0005750
YBR198C	GO:0005669
YCL008C	GO:0000813
YER162C	GO:0000111
YJR068W	GO:0005663
YOR098C	GO:0005643
YBL052C	GO:0033100
YML013W	GO:0000837
YNL230C	GO:0031463
YPL018W	GO:0000817
YAL002W	GO:0030897
YNL021W	GO:0070823
YKR062W	GO:0005673
YML124C	GO:0005827
YER094C	GO:0034515
YLR182W	GO:0033309
YJR052W	GO:0000113
YMR293C	GO:0030956
YDR013W	GO:0000811
YIL111W	GO:0005751
YKL006C-A	GO:0031201
YPL045W	GO:0033263
YML112W	GO:0032806
YHR143W-A	GO:0005736
YOR361C	GO:0005852
YHR187W	GO:0033588
YMR264W	GO:0000837
YPR191W	GO:0005750
YMR054W	GO:0000220
YKR029C	GO:0034967
YGR063C	GO:0008023
YLR018C	GO:0005643
YPR105C	GO:0017119
YLR274W	GO:0042555
YDR308C	GO:0016592
YBR170C	GO:0000837
YNL072W	GO:0032299
YIL021W	GO:0005736
YGR252W	GO:0005669
YOR210W	GO:0005736
YDR130C	GO:0000778
YPR133W-A	GO:0005742
YMR263W	GO:0000118
YLR148W	GO:0034515
YBL037W	GO:0030122
YNL248C	GO:0005736
YER133W	GO:0005847
YGL044C	GO:0005849
YGR274C	GO:0000124
YGL180W	GO:0034273
YKL004W	GO:0070916
YDR485C	GO:0000812
YMR176W	GO:0070211
YPL126W	GO:0034455
YMR223W	GO:0046695
YJL109C	GO:0034455
YHR027C	GO:0008540
YHR027C	GO:0034515
YDL004W	GO:0005756
YJL047C	GO:0000151
YBR111W-A	GO:0005643
YOR179C	GO:0005847
YEL037C	GO:0000108
YMR053C	GO:0070822
YLR433C	GO:0005955
YNL006W	GO:0031932
YML114C	GO:0005669
YGL061C	GO:0042729
YHR107C	GO:0031105
YDR392W	GO:0005669
YPL082C	GO:0016585
YDR335W	GO:0046930
YAR007C	GO:0005662
YDR108W	GO:0030008
YGL048C	GO:0034515
YKR038C	GO:0000408
YFL009W	GO:0043224
YPR108W	GO:0008541
YDL056W	GO:0030907
YGL116W	GO:0033597
YMR231W	GO:0033263
YFR002W	GO:0055125
YML124C	GO:0005881
YLR186W	GO:0005880
YPL235W	GO:0016585
YLR005W	GO:0000112
YDR016C	GO:0000778
YGR252W	GO:0016591
YDL116W	GO:0005643
YBR175W	GO:0048188
YLR015W	GO:0048188
YGR002C	GO:0000812
YPL174C	GO:0005869
YKL145W	GO:0008540
YMR299C	GO:0005868
YOL062C	GO:0030122
YBR087W	GO:0031391
YEL061C	GO:0000235
YJL011C	GO:0005666
YNL232W	GO:0000177
YOL068C	GO:0034967
YBL008W	GO:0000417
YLR208W	GO:0031080
YOL078W	GO:0031932
YER092W	GO:0016585
YHR071W	GO:0000307
YLR347C	GO:0005643
YOR239W	GO:0005884
YOR257W	GO:0070390
YBR111W-A	GO:0000124
YNL262W	GO:0008622
YLR103C	GO:0031298
YLL006W	GO:0032865
YOR103C	GO:0008250
YBR217W	GO:0034274
YBL093C	GO:0016592
YDL002C	GO:0031011
YLR418C	GO:0008023
YGL172W	GO:0005643
YDR532C	GO:0000778
YLR115W	GO:0005849
YBR279W	GO:0016593
Q0085	GO:0000276
YCL009C	GO:0005948
YGL226C-A	GO:0008250
YOL094C	GO:0031389
YLR421C	GO:0034515
YOR123C	GO:0008023
YDL147W	GO:0008541
YOL112W	GO:0000133
YPR068C	GO:0000118
YDL097C	GO:0008541
YPL007C	GO:0000127
YLR222C	GO:0034388
YGL011C	GO:0034515
YER070W	GO:0005971
YBR279W	GO:0008023
YJR075W	GO:0000136
YDR298C	GO:0000274
YMR218C	GO:0030008
YNL189W	GO:0046930
YDR192C	GO:0005643
YIL079C	GO:0031499
YOR117W	GO:0031597
YGL208W	GO:0031588
YMR213W	GO:0000974
YPL122C	GO:0000439
YPL167C	GO:0016035
YGL049C	GO:0016281
YPR176C	GO:0005968
YNL293W	GO:0000133
YDR488C	GO:0005868
YIL034C	GO:0005884
YHR186C	GO:0031931
YIL022W	GO:0001405
YOR270C	GO:0000220
YIL144W	GO:0000778
YLR383W	GO:0030915
YPL138C	GO:0048188
YGR163W	GO:0034448
YDR392W	GO:0000124
YHR058C	GO:0016592
YGL025C	GO:0016592
YBL023C	GO:0042555
YER105C	GO:0005643
YDR363W-A	GO:0008541
YHR193C	GO:0005854
YFR010W	GO:0005838
YOR061W	GO:0034456
YER106W	GO:0033551
YPR101W	GO:0000974
YBR201W	GO:0000839
YBR091C	GO:0042721
YOR115C	GO:0030008
YHR024C	GO:0017087
YFL039C	GO:0000123
YHL025W	GO:0016514
YMR273C	GO:0005643
YJL148W	GO:0005736
YFL009W	GO:0019005
YGR135W	GO:0019773
YLR008C	GO:0005744
YFR051C	GO:0030126
Q0130	GO:0000276
YPR180W	GO:0031510
YBR154C	GO:0005666
YNL139C	GO:0000445
YCR002C	GO:0031105
YPL096C-A	GO:0000506
YPL269W	GO:0000776
YDL127W	GO:0000307
YNL253W	GO:0000346
YOR073W	GO:0000778
YLR066W	GO:0005787
YFL037W	GO:0005827
YNR035C	GO:0005885
YGL215W	GO:0000307
YER171W	GO:0005675
YDR394W	GO:0008541
YPL139C	GO:0032221
YDR138W	GO:0000446
YPL253C	GO:0005871
YGL252C	GO:0046695
YER021W	GO:0008541
YDR320C-A	GO:0042729
YPR023C	GO:0035267
YDR254W	GO:0000942
YJL029C	GO:0000938
YNL054W	GO:0070772
YGR090W	GO:0034456
YBR081C	GO:0046695
YBR088C	GO:0043626
YJR136C	GO:0070209
YIL075C	GO:0008540
YDR460W	GO:0005675
YDL108W	GO:0070985
YGR167W	GO:0030125
YDL004W	GO:0045261
YLR234W	GO:0031422
YKR054C	GO:0000235
YDR468C	GO:0031201
YKL033W	GO:0070209
YKL138C-A	GO:0000776
YOL145C	GO:0008023
YOR303W	GO:0005951
YDL132W	GO:0019005
YDR383C	GO:0000776
YKR002W	GO:0005847
YPL139C	GO:0070210
YJR112W	GO:0000776
YDL217C	GO:0042721
YKL135C	GO:0030121
YCR084C	GO:0017053
YHR099W	GO:0035267
YAL029C	GO:0031941
YDL105W	GO:0030915
YGR140W	GO:0031518
YPL228W	GO:0031533
YDL126C	GO:0034098
YNL189W	GO:0005643
YPR110C	GO:0005666
YDR155C	GO:0000118
YGL100W	GO:0005643
YIL143C	GO:0000439
YOL069W	GO:0031262
YPL129W	GO:0016586
YJR082C	GO:0035267
YHR167W	GO:0000446
YKL195W	GO:0005742
YBR112C	GO:0017053
YDR392W	GO:0046695
YDR207C	GO:0070210
YLR007W	GO:0030915
YLR277C	GO:0005849
YDR484W	GO:0000938
YGR135W	GO:0034515
YOR046C	GO:0005643
YKL007W	GO:0008290
YGL098W	GO:0031201
YIL143C	GO:0005675
YJR125C	GO:0030125
YLL041C	GO:0005749
YPL120W	GO:0034271
YGL127C	GO:0016592
YGR090W	GO:0032545
YDL140C	GO:0005736
YDR188W	GO:0005832
YJL099W	GO:0034044
YGR225W	GO:0005680
YPL031C	GO:0000307
YPR175W	GO:0008622
YLR442C	GO:0005677
YER162C	GO:0000108
YOR195W	GO:0000776
YGR246C	GO:0000126
YJR043C	GO:0043625
YGR195W	GO:0000177
YPR080W	GO:0005853
YML107C	GO:0005643
YMR190C	GO:0031422
YJR052W	GO:0031463
YKR054C	GO:0005868
YBR114W	GO:0000108
YIL021W	GO:0005665
YLR212C	GO:0000928
YBR060C	GO:0005664
YLR277C	GO:0005847
YPL011C	GO:0005669
YGL043W	GO:0030880
YHR099W	GO:0000123
YGR254W	GO:0000015
YDL003W	GO:0034990
YGR258C	GO:0000112
YGR116W	GO:0008023
YDR167W	GO:0046695
YLR314C	GO:0031105
YHR172W	GO:0000928
YDR359C	GO:0000123
YFR010W	GO:0000502
YBR288C	GO:0030123
YML115C	GO:0000136
YDR472W	GO:0030008
YMR261C	GO:0005946
YBR245C	GO:0016587
YKR095W	GO:0005643
YML057W	GO:0005955
YHR188C	GO:0042765
YBR079C	GO:0005852
YPL218W	GO:0030127
YDR177W	GO:0000502
YPR144C	GO:0030692
YNL051W	GO:0017119
YMR047C	GO:0055126
YLR078C	GO:0031201
YEL024W	GO:0005750
YLR315W	GO:0000776
YGR113W	GO:0042729
YNR017W	GO:0005744
YPL020C	GO:0005643
YDR225W	GO:0031298
YHR200W	GO:0031597
YJR002W	GO:0034457
YDR079C-A	GO:0005675
YJL125C	GO:0031515
YIL142W	GO:0005832
YNL236W	GO:0016592
YGR181W	GO:0042719
YKR083C	GO:0000778
YDR153C	GO:0030125
YJR010C-A	GO:0005787
YER106W	GO:0000778
YLR200W	GO:0016272
YHL031C	GO:0031201
YOR326W	GO:0031941
YHR083W	GO:0001401
YLR409C	GO:0034388
YIL004C	GO:0031201
YBR154C	GO:0005736
YFL036W	GO:0034245
YER068W	GO:0030015
YJR005W	GO:0030122
YER173W	GO:0031389
YPL002C	GO:0000814
YFR030W	GO:0009337
YBR097W	GO:0034272
YIL139C	GO:0016035
YLR396C	GO:0033263
YGL061C	GO:0000778
YGL043W	GO:0000428
YNL038W	GO:0000506
YJR089W	GO:0000778
YBR082C	GO:0000502
YPL235W	GO:0000812
YER107C	GO:0005643
YML095C	GO:0000110
YFL028C	GO:0030014
YOL034W	GO:0030915
YOR178C	GO:0000164
YMR129W	GO:0005643
Q0045	GO:0005751
YKR020W	GO:0000938
YML088W	GO:0019005
YJL204C	GO:0000151
YPL194W	GO:0030896
YLR127C	GO:0005680
YMR299C	GO:0005881
YJL039C	GO:0005643
YGR020C	GO:0000221
YHR200W	GO:0000502
YMR059W	GO:0000214
YDL007W	GO:0008540
YOL123W	GO:0005849
YDR005C	GO:0055029
YPR034W	GO:0016586
YDR131C	GO:0019005
YPR161C	GO:0000307
YHR143W-A	GO:0005666
YFR028C	GO:0030869
YOR157C	GO:0019774
YDR207C	GO:0033698
YGL092W	GO:0031080
YIR008C	GO:0005658
YIL125W	GO:0009353
YGL090W	GO:0032807
YDR176W	GO:0046695
YKR037C	GO:0000778
YNL253W	GO:0000445
YJR112W	GO:0000818
YER094C	GO:0019774
YER122C	GO:0030126
YHR199C-A	GO:0032133
YJR109C	GO:0005951
YNL107W	GO:0000812
YNL330C	GO:0070822
YKR082W	GO:0005643
YER012W	GO:0019774
YML036W	GO:0000408
YER016W	GO:0000776
YPR025C	GO:0000109
YCR081W	GO:0005667
YOR368W	GO:0030896
YIR005W	GO:0070274
YIL149C	GO:0046930
YGL207W	GO:0035101
YDR057W	GO:0034099
YCL061C	GO:0031298
YDL209C	GO:0000974
YDR448W	GO:0016585
YKR007W	GO:0034448
YDR062W	GO:0017059
YLR129W	GO:0034388
YBR009C	GO:0031298
YGL174W	GO:0070274
YNL139C	GO:0000446
YDL116W	GO:0031080
YGR274C	GO:0070461
YBR228W	GO:0033557
YFL049W	GO:0016514
YOR117W	GO:0008540
YOR174W	GO:0016592
YLR055C	GO:0005667
YMR314W	GO:0034515
YOL051W	GO:0016592
YGR063C	GO:0000776
YNL037C	GO:0005962
YDL013W	GO:0000151
YMR203W	GO:0005742
YHR069C	GO:0000176
YML081C-A	GO:0000276
YJL104W	GO:0005744
YMR149W	GO:0008250
YBL079W	GO:0005643
YHR012W	GO:0030906
YER094C	GO:0031597
YDR138W	GO:0000445
YDR219C	GO:0000151
YML094W	GO:0016272
YGL240W	GO:0005680
YGL141W	GO:0000502
YFL024C	GO:0032777
YDR246W	GO:0030008
YHR090C	GO:0032777
YKL166C	GO:0005952
YOL012C	GO:0005678
YJL154C	GO:0030904
YDR427W	GO:0008541
YDR190C	GO:0031011
YLR385C	GO:0000812
YIL149C	GO:0005643
YJL034W	GO:0034099
YPR070W	GO:0016592
YKL148C	GO:0005749
YBR081C	GO:0005671
YMR117C	GO:0031262
YGL134W	GO:0000307
YDR145W	GO:0005669
YBR098W	GO:0048476
YLR055C	GO:0005669
YPR168W	GO:0016592
YDL008W	GO:0005680
YBL041W	GO:0019774
YER012W	GO:0034515
YOR217W	GO:0005663
YMR035W	GO:0042720
YAL034W-A	GO:0000818
YAR008W	GO:0000214
YJL204C	GO:0019005
YLR207W	GO:0000839
YBR211C	GO:0000776
YLR268W	GO:0031201
YDR145W	GO:0000124
YGR200C	GO:0033588
YAL021C	GO:0030015
YER038C	GO:0030915
YLR088W	GO:0042765
YML077W	GO:0030008
YMR093W	GO:0034455
YHR154W	GO:0035361
YLR381W	GO:0000778
YCR035C	GO:0000176
YHR005C-A	GO:0042721
YOR272W	GO:0070545
YPL024W	GO:0031422
YDL102W	GO:0043625
YDR155C	GO:0034967
YBL003C	GO:0031298
YJL030W	GO:0033597
YHR167W	GO:0000445
YMR033W	GO:0016586
YFR050C	GO:0019774
YDR118W	GO:0005680
YPL209C	GO:0005828
YLR224W	GO:0000151
YGR218W	GO:0000776
YNL330C	GO:0000118
YIL046W	GO:0019005
YMR129W	GO:0070762
YLR291C	GO:0005851
YDR449C	GO:0034388
YDR325W	GO:0000799
YPR187W	GO:0005736
YLR396C	GO:0030897
YGR097W	GO:0016591
YFR002W	GO:0005643
YNL311C	GO:0031461
YDR369C	GO:0030870
YPR185W	GO:0034273
YPR051W	GO:0031417
YMR309C	GO:0005852
YKL125W	GO:0000120
YNL325C	GO:0070772
YJR006W	GO:0043625
YBR127C	GO:0000221
YLR002C	GO:0030691
YGL216W	GO:0005880
YFL039C	GO:0000812
YML102W	GO:0033186
YPL129W	GO:0033100
YHR200W	GO:0034515
YGR179C	GO:0000778
YPR019W	GO:0031298
YGR195W	GO:0000176
YML019W	GO:0008250
YDR176W	GO:0005671
YNR052C	GO:0030015
YOR210W	GO:0005666
YBR283C	GO:0071261
YIL021W	GO:0005666
YDR159W	GO:0070390
YER088C	GO:0070210
YPL047W	GO:0000124
YDR489W	GO:0031298
YPR165W	GO:0000148
YOR269W	GO:0005881
YDR320C-A	GO:0000776
YJR090C	GO:0019005
YPL254W	GO:0005669
YMR094W	GO:0000778
YLR141W	GO:0000500
YNL097C	GO:0070210
YPL037C	GO:0005854
YIL150C	GO:0031298
YKL176C	GO:0030120
YJL072C	GO:0031298
YOL115W	GO:0031499
YLL036C	GO:0000974
YKR083C	GO:0042729
YOR141C	GO:0031011
YLR288C	GO:0030896
YOR023C	GO:0005671
YKR027W	GO:0034044
YPL019C	GO:0033254
YPR020W	GO:0000276
YER149C	GO:0000133
YDR359C	GO:0000812
YLR274W	GO:0031298
YBR126C	GO:0005946
YGR032W	GO:0000148
YDR179C	GO:0008180
YDR045C	GO:0005666
YBL031W	GO:0005880
YKL112W	GO:0000113
YDL084W	GO:0000346
YNL330C	GO:0070211
YEL056W	GO:0000123
YNL151C	GO:0005666
YKL143W	GO:0034449
YOL076W	GO:0031416
YGL116W	GO:0005680
YMR044W	GO:0016587
YBR258C	GO:0048188
YMR189W	GO:0005960
YDL185W	GO:0000221
YPL169C	GO:0005643
YLR335W	GO:0005643
YGL022W	GO:0008250
YMR075W	GO:0032221
YJR033C	GO:0016469
YFL039C	GO:0005884
YMR205C	GO:0005945
YMR091C	GO:0016586
YBL097W	GO:0000799
YDL175C	GO:0031499
YDL067C	GO:0005751
YDR252W	GO:0030014
YDR324C	GO:0034455
YHR148W	GO:0034457
YJL042W	GO:0005874
YJL047C	GO:0035361
YKL045W	GO:0005658
YFR036W	GO:0005680
YIL075C	GO:0034515
YNR003C	GO:0005666
YPL120W	GO:0034272
YOR332W	GO:0000221
YBR087W	GO:0005663
YLR272C	GO:0000799
YGL061C	GO:0005876
YPL219W	GO:0000307
YGL194C	GO:0070210
YPL016W	GO:0016514
YGR047C	GO:0000127
YPL178W	GO:0005846
YOL148C	GO:0046695
YGL207W	GO:0008023
YAL043C	GO:0005849
YBL035C	GO:0005658
YHR051W	GO:0005751
YER087C-B	GO:0005784
YGR188C	GO:0000778
YKR095W-A	GO:0000408
YBR156C	GO:0005828
YDR311W	GO:0000112
YPL129W	GO:0016592
YDR190C	GO:0016585
YCR081W	GO:0016592
YDR181C	GO:0033255
YDR331W	GO:0042765
YLR115W	GO:0005847
YPR108W	GO:0031597
YGL112C	GO:0046695
YJR050W	GO:0000974
YBR039W	GO:0045261
YGR252W	GO:0005671
YOR362C	GO:0034515
YDR137W	GO:0034066
YIL115C	GO:0055126
YGR262C	GO:0000408
YDR004W	GO:0033062
YDR489W	GO:0000811
YOL094C	GO:0005663
YPL256C	GO:0000307
YHR005C	GO:0005834
YEL059C-A	GO:0042720
YGL172W	GO:0055125
YKL041W	GO:0000815
YGR086C	GO:0032126
YDR180W	GO:0032116
YNL102W	GO:0005658
YOR064C	GO:0033100
YOR039W	GO:0005956
YGR119C	GO:0005643
YAL043C	GO:0005847
YJR082C	GO:0033100
YJR060W	GO:0000776
YNL131W	GO:0005742
YMR237W	GO:0034044
YKL068W	GO:0005643
YGR003W	GO:0031463
YOL071W	GO:0005749
YKL028W	GO:0005673
YPL209C	GO:0000778
YKL088W	GO:0071513
YMR256C	GO:0005751
YGR179C	GO:0000817
YJR052W	GO:0000108
YGL194C	GO:0034967
YKL002W	GO:0000815
YBL079W	GO:0031015
YGL151W	GO:0016592
YKL145W	GO:0031597
YHL030W	GO:0000502
YAR003W	GO:0048188
YHR191C	GO:0031390
YDR130C	GO:0000235
YLR395C	GO:0005751
YNL126W	GO:0000928
YFR033C	GO:0005750
YDR167W	GO:0000124
YPL155C	GO:0005871
YPR187W	GO:0005666
YGL066W	GO:0000124
YLR016C	GO:0070274
YMR270C	GO:0000500
YER088C	GO:0033698
YKL080W	GO:0000221
YBR160W	GO:0000307
YDR074W	GO:0005946
YPL169C	GO:0042272
YNL250W	GO:0030870
YBR233W-A	GO:0000776
YCL005W-A	GO:0000220
YMR236W	GO:0005669
YBR280C	GO:0019005
YIR025W	GO:0005680
YLR330W	GO:0034044
YDL108W	GO:0005675
YGL133W	GO:0008623
YDR301W	GO:0005847
YML069W	GO:0031298
YHR129C	GO:0005869
YCL031C	GO:0032545
YKR007W	GO:0034449
YLR064W	GO:0005643
YKL154W	GO:0005785
YBR010W	GO:0031298
YLR148W	GO:0030897
YGR057C	GO:0030120
YLR223C	GO:0032545
YKL017C	GO:0033203
YOL139C	GO:0016281
YIL109C	GO:0030127
YOR117W	GO:0008541
YEL032W	GO:0031298
YNL039W	GO:0000126
YOR224C	GO:0005666
YDL216C	GO:0008180
YEL061C	GO:0005828
YPL235W	GO:0070209
YHR069C	GO:0000177
YOR085W	GO:0008250
YGL086W	GO:0005643
YOL069W	GO:0000778
YDL097C	GO:0034515
YPL101W	GO:0033588
YER093C	GO:0031932
YLL022C	GO:0000123
YMR061W	GO:0005847
YOR340C	GO:0005736
YEL037C	GO:0000111
YDR460W	GO:0070985
YMR227C	GO:0046695
YIR022W	GO:0005787
YNL330C	GO:0032221
YPL149W	GO:0034274
YPL181W	GO:0070210
YEL061C	GO:0000778
YDL143W	GO:0005832
YOR297C	GO:0042721
YNL025C	GO:0005667
YER016W	GO:0005881
YKL211C	GO:0005950
YGL087C	GO:0031371
YPR135W	GO:0031298
YLR440C	GO:0070939
YHR026W	GO:0000220
YMR060C	GO:0001401
YOR075W	GO:0031201
YPR023C	GO:0032221
